MUNICIPIO;NATUREZA DO FATO;ARMA UTILIZADA;SEXO;IDADE;DATA
BANABUIU;HOMICIDIO DOLOSO;OUTROS;M;27;2016-02-15
SAO BENEDITO;HOMICIDIO DOLOSO;ARMA DE FOGO;M;;2016-02-15
BATURITE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;33;2016-02-15
RUSSAS;HOMICIDIO DOLOSO;ARMA DE FOGO;M;37;2016-02-15
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;16;2016-02-15
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;18;2016-02-15
MARACANAU;HOMICIDIO DOLOSO;ARMA DE FOGO;M;25;2016-02-15
ARARIPE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;45;2016-02-16
IRAUCUBA;HOMICIDIO DOLOSO;ARMA BRANCA;F;34;2016-02-16
QUIXADA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;14;2016-02-16
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;36;2016-02-16
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;16;2016-02-16
VARJOTA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;36;2016-02-16
IGUATU;HOMICIDIO DOLOSO;ARMA DE FOGO;M;41;2016-02-16
RUSSAS;HOMICIDIO DOLOSO;ARMA DE FOGO;M;18;2016-02-16
QUIXADA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;25;2016-02-16
ALTO SANTO;HOMICIDIO DOLOSO;ARMA DE FOGO;M;23;2016-02-16
RUSSAS;HOMICIDIO DOLOSO;ARMA DE FOGO;M;39;2016-02-16
CASCAVEL;HOMICIDIO DOLOSO;ARMA DE FOGO;M;33;2016-02-16
ALTO SANTO;HOMICIDIO DOLOSO;ARMA DE FOGO;M;21;2016-02-16
JUAZEIRO DO NORTE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;28;2016-02-16
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;15;2016-02-16
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;19;2016-02-16
ITAPIUNA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;41;2016-02-17
JARDIM;HOMICIDIO DOLOSO;ARMA DE FOGO;M;25;2016-02-17
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;25;2016-02-17
MARACANAU;HOMICIDIO DOLOSO;ARMA DE FOGO;M;35;2016-02-17
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;18;2016-02-17
MORADA NOVA;ROUBO SEGUIDO DE MORTE (LATROCINIO);ARMA DE FOGO;M;76;2016-02-17
MORADA NOVA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;28;2016-02-17
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;20;2016-02-17
SALITRE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;38;2016-02-17
JUAZEIRO DO NORTE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;48;2016-02-17
EUSEBIO;HOMICIDIO DOLOSO;ARMA DE FOGO;M;21;2016-02-17
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;24;2016-02-17
SOBRAL;ROUBO SEGUIDO DE MORTE (LATROCINIO);ARMA DE FOGO;M;40;2016-02-18
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;43;2016-02-18
SENADOR POMPEU;HOMICIDIO DOLOSO;ARMA DE FOGO;M;26;2016-02-18
RUSSAS;HOMICIDIO DOLOSO;ARMA DE FOGO;M;32;2016-02-18
CHOROZINHO;HOMICIDIO DOLOSO;ARMA DE FOGO;M;33;2016-02-18
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;21;2016-02-18
BREJO SANTO;HOMICIDIO DOLOSO;ARMA DE FOGO;M;26;2016-02-19
JAGUARETAMA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;38;2016-02-19
JAGUARETAMA;HOMICIDIO DOLOSO;OUTROS;I;;2016-02-19
JAGUARETAMA;HOMICIDIO DOLOSO;OUTROS;I;;2016-02-19
SAO GONCALO DO AMARANTE;ROUBO SEGUIDO DE MORTE (LATROCINIO);ARMA DE FOGO;M;50;2016-02-19
JUAZEIRO DO NORTE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;22;2016-02-19
HORIZONTE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;16;2016-02-19
BARREIRA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;31;2016-02-19
UMIRIM;HOMICIDIO DOLOSO;ARMA DE FOGO;M;21;2016-02-19
BELA CRUZ;LESAO CORPORAL SEGUIDA DE MORTE;OUTROS;M;20;2016-02-20
TAUA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;19;2016-02-20
TRAIRI;HOMICIDIO DOLOSO;ARMA DE FOGO;M;;2016-02-20
JAGUARETAMA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;22;2016-02-20
MARACANAU;HOMICIDIO DOLOSO;ARMA DE FOGO;M;46;2016-02-20
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;30;2016-02-20
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;16;2016-02-20
FORTALEZA;HOMICIDIO DOLOSO;ARMA BRANCA;M;40;2016-02-20
BELA CRUZ;HOMICIDIO DOLOSO;ARMA DE FOGO;M;19;2016-02-20
JAGUARETAMA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;18;2016-02-20
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;;2016-02-20
JUAZEIRO DO NORTE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;45;2016-02-20
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;35;2016-02-21
GRANJA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;18;2016-02-21
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;;2016-02-21
CAUCAIA;HOMICIDIO DOLOSO;ARMA BRANCA;M;30;2016-02-21
CAMOCIM;HOMICIDIO DOLOSO;ARMA DE FOGO;M;20;2016-02-21
IGUATU;HOMICIDIO DOLOSO;ARMA DE FOGO;M;19;2016-02-21
CASCAVEL;HOMICIDIO DOLOSO;ARMA BRANCA;M;51;2016-02-21
MAURITI;HOMICIDIO DOLOSO;ARMA DE FOGO;M;23;2016-02-21
MARANGUAPE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;21;2016-02-21
PACAJUS;HOMICIDIO DOLOSO;ARMA DE FOGO;M;46;2016-02-21
TAUA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;17;2016-02-21
PACAJUS;HOMICIDIO DOLOSO;ARMA DE FOGO;F;69;2016-02-21
SOBRAL;HOMICIDIO DOLOSO;ARMA DE FOGO;M;24;2016-02-22
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;F;32;2016-02-22
CAUCAIA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;16;2016-02-22
CAUCAIA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;19;2016-02-22
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;15;2016-02-22
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;20;2016-02-22
AQUIRAZ;HOMICIDIO DOLOSO;ARMA DE FOGO;M;29;2016-02-22
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;;2016-02-22
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;28;2016-02-22
FORTALEZA;ROUBO SEGUIDO DE MORTE (LATROCINIO);ARMA DE FOGO;F;39;2016-02-22
MARACANAU;HOMICIDIO DOLOSO;ARMA DE FOGO;M;20;2016-02-22
PENTECOSTE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;23;2016-02-22
UBAJARA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;20;2016-02-23
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;;2016-02-23
QUIXADA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;;2016-02-23
FORTALEZA;HOMICIDIO DOLOSO;ARMA BRANCA;F;21;2016-02-23
PACATUBA;HOMICIDIO DOLOSO;OUTROS;M;18;2016-02-23
CAUCAIA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;65;2016-02-23
IBICUITINGA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;61;2016-02-23
CHOROZINHO;HOMICIDIO DOLOSO;ARMA DE FOGO;F;38;2016-02-23
MARACANAU;HOMICIDIO DOLOSO;ARMA DE FOGO;M;19;2016-02-24
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;31;2016-02-24
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;61;2016-02-24
FORTALEZA;HOMICIDIO DOLOSO;NI;F;30;2016-02-24
EUSEBIO;HOMICIDIO DOLOSO;ARMA DE FOGO;M;21;2016-02-24
CAUCAIA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;20;2016-02-24
URUBURETAMA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;53;2016-02-24
EUSEBIO;HOMICIDIO DOLOSO;ARMA DE FOGO;M;26;2016-02-24
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;F;30;2016-02-25
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;38;2016-02-25
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;42;2016-02-25
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;16;2016-02-25
SENADOR POMPEU;HOMICIDIO DOLOSO;OUTROS;M;19;2016-02-25
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;17;2016-02-25
QUIXADA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;22;2016-02-25
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;48;2016-02-26
TAUA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;45;2016-02-26
CAUCAIA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;;2016-02-26
PARAMBU;HOMICIDIO DOLOSO;ARMA DE FOGO;M;44;2016-02-26
TAUA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;43;2016-02-26
MARANGUAPE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;;2016-02-26
SANTA QUITERIA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;57;2016-02-27
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;24;2016-02-27
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;20;2016-02-27
SAO GONCALO DO AMARANTE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;;2016-02-27
CAUCAIA;HOMICIDIO DOLOSO;ARMA BRANCA;M;;2016-02-27
JUAZEIRO DO NORTE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;;2016-02-27
IBICUITINGA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;21;2016-02-27
PACATUBA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;18;2016-02-28
RUSSAS;HOMICIDIO DOLOSO;ARMA DE FOGO;M;31;2016-02-28
MARACANAU;HOMICIDIO DOLOSO;ARMA DE FOGO;F;48;2016-02-28
CAUCAIA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;22;2016-02-28
MARANGUAPE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;23;2016-02-28
ARATUBA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;38;2016-02-28
MARANGUAPE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;23;2016-02-28
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;22;2016-02-28
MARANGUAPE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;;2016-02-28
JUAZEIRO DO NORTE;HOMICIDIO DOLOSO;ARMA DE FOGO;F;18;2016-02-28
MORADA NOVA;HOMICIDIO DOLOSO;OUTROS;M;62;2016-02-28
MARACANAU;ROUBO SEGUIDO DE MORTE (LATROCINIO);OUTROS;M;33;2016-02-28
ASSARE;ROUBO SEGUIDO DE MORTE (LATROCINIO);ARMA DE FOGO;M;36;2016-02-29
ITAPIPOCA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;31;2016-02-29
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;35;2016-02-29
LIMOEIRO DO NORTE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;30;2016-02-29
MARACANAU;HOMICIDIO DOLOSO;ARMA DE FOGO;M;28;2016-02-29
SOBRAL;HOMICIDIO DOLOSO;ARMA BRANCA;M;35;2016-02-29
ITAITINGA;HOMICIDIO DOLOSO;OUTROS;M;47;2016-02-20
RUSSAS;HOMICIDIO DOLOSO;ARMA DE FOGO;M;30;2015-11-01
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;44;2015-11-01
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;25;2015-11-01
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;23;2015-11-01
CAUCAIA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;32;2015-11-01
TABULEIRO DO NORTE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;24;2015-11-01
CAMPOS SALES;HOMICIDIO DOLOSO;ARMA DE FOGO;M;35;2015-11-01
NOVO ORIENTE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;31;2015-11-01
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;25;2015-11-01
BEBERIBE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;14;2015-11-01
ARACOIABA;HOMICIDIO DOLOSO;OUTROS;M;;2015-11-01
QUIXADA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;46;2015-11-01
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;20;2015-11-01
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;28;2015-11-01
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;17;2015-11-01
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;20;2015-11-01
PACAJUS;HOMICIDIO DOLOSO;ARMA DE FOGO;M;31;2015-11-01
REDENCAO;HOMICIDIO DOLOSO;ARMA DE FOGO;M;24;2015-11-01
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;26;2015-11-01
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;20;2015-11-01
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;38;2015-11-02
PORTEIRAS;HOMICIDIO DOLOSO;ARMA BRANCA;M;26;2015-11-02
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;52;2015-11-02
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;25;2015-11-02
OCARA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;29;2015-11-02
MORRINHOS;HOMICIDIO DOLOSO;ARMA DE FOGO;M;20;2015-11-02
SOBRAL;HOMICIDIO DOLOSO;ARMA DE FOGO;M;16;2015-11-02
SAO BENEDITO;HOMICIDIO DOLOSO;ARMA BRANCA;M;52;2015-11-02
NOVA JAGUARIBARA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;15;2015-11-02
NOVA JAGUARIBARA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;40;2015-11-02
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;17;2015-11-02
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;16;2015-11-02
BARREIRA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;29;2015-11-02
SOBRAL;HOMICIDIO DOLOSO;ARMA DE FOGO;M;27;2015-11-02
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;30;2015-11-02
MARACANAU;HOMICIDIO DOLOSO;ARMA DE FOGO;M;52;2015-11-03
SOBRAL;HOMICIDIO DOLOSO;ARMA BRANCA;M;25;2015-11-03
PACATUBA;HOMICIDIO DOLOSO;OUTROS;M;21;2015-11-03
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;20;2015-11-03
FORTALEZA;HOMICIDIO DOLOSO;OUTROS;M;;2015-11-03
TABULEIRO DO NORTE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;39;2015-11-03
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;24;2015-11-03
INDEPENDÊNCIA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;26;2015-11-03
CAUCAIA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;15;2015-11-03
FORTALEZA;HOMICIDIO DOLOSO;OUTROS;M;78;2015-11-03
MARACANAU;HOMICIDIO DOLOSO;ARMA DE FOGO;M;15;2015-11-03
AQUIRAZ;HOMICIDIO DOLOSO;ARMA DE FOGO;M;27;2015-11-03
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;F;47;2015-11-03
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;22;2015-11-03
MARACANAU;HOMICIDIO DOLOSO;ARMA DE FOGO;M;38;2015-11-03
PINDORETAMA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;16;2015-11-03
CAMPOS SALES;HOMICIDIO DOLOSO;ARMA DE FOGO;M;45;2015-11-03
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;21;2015-11-04
LIMOEIRO DO NORTE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;35;2015-11-04
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;20;2015-11-04
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;21;2015-11-04
MARACANAU;HOMICIDIO DOLOSO;ARMA DE FOGO;M;19;2015-11-04
IGUATU;HOMICIDIO DOLOSO;ARMA DE FOGO;M;17;2015-11-04
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;16;2015-11-04
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;21;2015-11-04
CAUCAIA;ROUBO SEGUIDO DE MORTE (LATROCINIO);ARMA DE FOGO;M;39;2015-11-04
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;26;2015-11-05
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;29;2015-11-05
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;36;2015-11-05
QUIXERE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;22;2015-11-05
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;18;2015-11-05
QUIXERE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;18;2015-11-05
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;18;2015-11-05
CAUCAIA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;22;2015-11-05
ITAPIPOCA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;53;2015-11-05
TABULEIRO DO NORTE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;35;2015-11-05
IGUATU;HOMICIDIO DOLOSO;ARMA BRANCA;M;28;2015-11-05
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;;2015-11-05
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;22;2015-11-05
CRATO;HOMICIDIO DOLOSO;ARMA BRANCA;M;20;2015-11-06
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;34;2015-11-06
AQUIRAZ;HOMICIDIO DOLOSO;ARMA DE FOGO;M;32;2015-11-06
SOBRAL;HOMICIDIO DOLOSO;ARMA BRANCA;M;28;2015-11-06
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;20;2015-11-06
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;31;2015-11-06
REDENCAO;HOMICIDIO DOLOSO;ARMA DE FOGO;M;40;2015-11-06
ITATIRA;HOMICIDIO DOLOSO;ARMA BRANCA;M;23;2015-11-06
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;20;2015-11-06
MARACANAU;HOMICIDIO DOLOSO;ARMA DE FOGO;M;24;2015-11-07
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;24;2015-11-07
PEDRA BRANCA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;25;2015-11-07
MARACANAU;HOMICIDIO DOLOSO;ARMA DE FOGO;M;21;2015-11-07
JUAZEIRO DO NORTE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;23;2015-11-07
SANTANA DO ACARAU;HOMICIDIO DOLOSO;ARMA DE FOGO;M;31;2015-11-07
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;;2015-11-07
BREJO SANTO;HOMICIDIO DOLOSO;ARMA DE FOGO;M;19;2015-11-07
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;22;2015-11-07
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;19;2015-11-07
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;17;2015-11-07
AQUIRAZ;HOMICIDIO DOLOSO;ARMA DE FOGO;M;21;2015-11-07
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;17;2015-11-07
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;18;2015-11-07
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;19;2015-11-07
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;22;2015-11-08
FORTALEZA;HOMICIDIO DOLOSO;ARMA BRANCA;M;51;2015-11-08
NOVA RUSSAS;HOMICIDIO DOLOSO;ARMA BRANCA;M;54;2015-11-08
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;24;2015-11-08
FORTALEZA;HOMICIDIO DOLOSO;ARMA BRANCA;M;;2015-11-08
PARACURU;HOMICIDIO DOLOSO;ARMA DE FOGO;M;24;2015-11-08
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;35;2015-11-08
FORTALEZA;ROUBO SEGUIDO DE MORTE (LATROCINIO);NI;M;27;2015-11-08
BREJO SANTO;HOMICIDIO DOLOSO;ARMA DE FOGO;M;55;2015-11-08
CAPISTRANO;HOMICIDIO DOLOSO;ARMA DE FOGO;M;18;2015-11-08
ITAPIUNA;HOMICIDIO DOLOSO;ARMA BRANCA;M;55;2015-11-08
GUARACIABA DO NORTE;HOMICIDIO DOLOSO;OUTROS;M;35;2015-11-08
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;18;2015-11-08
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;29;2015-11-09
QUIXADA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;35;2015-11-09
RUSSAS;HOMICIDIO DOLOSO;ARMA DE FOGO;M;16;2015-11-09
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;23;2015-11-09
TABULEIRO DO NORTE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;30;2015-11-09
JUAZEIRO DO NORTE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;23;2015-11-09
LIMOEIRO DO NORTE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;45;2015-11-09
ITAREMA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;28;2015-11-09
QUITERIANOPOLIS;HOMICIDIO DOLOSO;OUTROS;M;62;2015-11-09
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;21;2015-11-10
SAO JOAO DO JAGUARIBE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;49;2015-11-10
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;18;2015-11-10
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;31;2015-11-10
CAUCAIA;HOMICIDIO DOLOSO;ARMA DE FOGO;F;28;2015-11-11
ITAITINGA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;16;2015-11-11
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;19;2015-11-11
ITAITINGA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;16;2015-11-11
CAUCAIA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;65;2015-11-11
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;22;2015-11-11
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;30;2015-11-11
MARACANAU;HOMICIDIO DOLOSO;ARMA DE FOGO;M;31;2015-11-11
PACAJUS;HOMICIDIO DOLOSO;OUTROS;M;46;2015-11-11
SOBRAL;HOMICIDIO DOLOSO;ARMA BRANCA;F;34;2015-11-11
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;32;2015-11-11
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;18;2015-11-11
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;17;2015-11-12
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;16;2015-11-12
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;14;2015-11-12
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;40;2015-11-12
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;24;2015-11-12
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;23;2015-11-12
MORADA NOVA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;16;2015-11-12
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;19;2015-11-12
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;17;2015-11-12
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;41;2015-11-12
BARREIRA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;55;2015-11-12
FORTALEZA;LESAO CORPORAL SEGUIDA DE MORTE;ARMA DE FOGO;M;22;2015-11-12
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;22;2015-11-12
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;17;2015-11-12
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;16;2015-11-12
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;18;2015-11-12
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;16;2015-11-12
EUSEBIO;HOMICIDIO DOLOSO;ARMA DE FOGO;M;;2015-11-12
INDEPENDÊNCIA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;28;2015-11-12
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;17;2015-11-12
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;37;2015-11-12
ITAPIUNA;HOMICIDIO DOLOSO;ARMA BRANCA;M;28;2015-11-13
CAUCAIA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;20;2015-11-13
ITAREMA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;;2015-11-13
LIMOEIRO DO NORTE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;20;2015-11-13
CAUCAIA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;26;2015-11-13
QUITERIANOPOLIS;HOMICIDIO DOLOSO;ARMA DE FOGO;M;63;2015-11-13
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;33;2015-11-13
ITAPIUNA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;54;2015-11-13
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;39;2015-11-13
